COMPONENTE CURRICULAR;MUNICÍPIO;ESCOLA;TURMA;PREVISTOS;AVALIADOS;PARTICIPAÇÃO (%);PRÉ-LEITOR (TOTAL);PRÉ-LEITOR (NÍVEL 1);PRÉ-LEITOR (NÍVEL 2);PRÉ-LEITOR (NÍVEL 3);PRÉ-LEITOR (NÍVEL 4);LEITOR INICIANTE;LEITOR FLUENTE
FLUÊNCIA;ATIBAIA;ANDRE FRANCO MONTORO E M;2º ANO A INTEGRAL ANUAL;28;26;93;58%;12%;4%;0%;42%;35%;8%
FLUÊNCIA;ATIBAIA;ARMANDO TAMASSIA PADRE EM;2º ANO A MANHA ANUAL;27;27;100;48%;0%;26%;4%;19%;48%;4%
FLUÊNCIA;ATIBAIA;ARMANDO TAMASSIA PADRE EM;2º ANO B MANHA ANUAL;27;27;100;41%;11%;15%;7%;7%;59%;0%
FLUÊNCIA;ATIBAIA;ARMANDO TAMASSIA PADRE EM;2º ANO C TARDE ANUAL;30;29;97;76%;3%;14%;10%;48%;21%;3%
FLUÊNCIA;ATIBAIA;CATARINA MARIA DOS REIS EMEFR;2º ANO A INTEGRAL ANUAL;16;15;94;53%;20%;7%;0%;27%;33%;13%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO A MANHA ANUAL;29;29;100;38%;7%;0%;10%;21%;59%;3%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO B MANHA ANUAL;27;26;96;38%;0%;8%;12%;19%;58%;4%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO C TARDE ANUAL;26;25;96;36%;4%;0%;4%;28%;40%;24%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO D TARDE ANUAL;28;26;93;46%;0%;4%;0%;42%;46%;8%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM II PROFESSOR DOUTOR ORLANDO GIGLIOTTI;2º ANO A INTEGRAL ANUAL;27;26;96;54%;12%;8%;0%;35%;38%;8%
FLUÊNCIA;ATIBAIA;CIEM 3 CENTRO INTEGRADO DE EDUCACAO MUNICIPAL PROFESSORA ESPERANCA APARECIDA GIACOMIN MAEDA;2º ANO A INTEGRAL ANUAL;31;30;97;83%;23%;13%;3%;43%;17%;0%
FLUÊNCIA;ATIBAIA;CIEM 3 CENTRO INTEGRADO DE EDUCACAO MUNICIPAL PROFESSORA ESPERANCA APARECIDA GIACOMIN MAEDA;2º ANO B INTEGRAL ANUAL;30;27;90;63%;4%;15%;11%;33%;33%;4%
FLUÊNCIA;ATIBAIA;EVA CORDULLA HAUER VALLEJO EMEIF;2º ANO A INTEGRAL ANUAL;28;28;100;71%;11%;18%;0%;43%;25%;4%
FLUÊNCIA;ATIBAIA;EVA CORDULLA HAUER VALLEJO EMEIF;2º ANO B INTEGRAL ANUAL;28;27;96;63%;7%;19%;4%;33%;37%;0%
FLUÊNCIA;ATIBAIA;FRANCISCO SILVEIRA BUENO PROF EM;2º ANO A MANHA ANUAL;25;25;100;40%;0%;12%;4%;24%;56%;4%
FLUÊNCIA;ATIBAIA;FRANCISCO SILVEIRA BUENO PROF EM;2º ANO B MANHA ANUAL;27;27;100;48%;15%;7%;0%;26%;37%;15%
